artist_name,artist_id,first_added,first_song,first_album,first_album_type,last_added,last_song,last_album,last_album_type,main_songs_count,featured_songs_count,liked_songs_count,genres_count
9lives,2MQN1o9W3ULxdT38vj8g4Q,2023-08-23 14:02:02+00:00,BABY I'M HOME (w/ Kanii & 9lives),BABY I'M HOME (w/ Kanii & 9lives),single,2024-01-19 12:24:34+00:00,MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),single,1,2,3,0
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,2019-01-12 22:39:28+00:00,Love Is Hell (feat. Trippie Redd),Love Is Hell,album,2024-01-19 12:24:34+00:00,MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),single,132,72,204,0
Odetari,7ITMCzIU9uII8gwRg8JAhc,2023-08-23 14:02:02+00:00,BABY I'M HOME (w/ Kanii & 9lives),BABY I'M HOME (w/ Kanii & 9lives),single,2024-01-19 12:24:34+00:00,MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),MULTIMILLIONAIRE (w/ Trippie Redd & Odetari),single,2,1,3,0
EKKSTACY,0ynzbXwyCzxicMKHBoOkSH,2021-04-16 04:19:52+00:00,i want to be by your side,i want to be by your side (feat. herhexx),single,2024-01-19 12:24:31+00:00,alright (feat. The Kid LAROI),EKKSTACY,album,9,1,10,0
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,2020-01-31 05:01:11+00:00,Diva (feat. Lil Tecca),Diva (feat. Lil Tecca),single,2024-01-19 12:24:31+00:00,alright (feat. The Kid LAROI),EKKSTACY,album,71,28,99,0
Joey Bada$$,2P5sC9cVZDToPxyomzF1UH,2019-04-26 10:12:53+00:00,Too Many Gods,For The Throne (Music Inspired by the HBO Series Game of Thrones),album,2024-01-19 12:24:28+00:00,Passports & Suitcases (feat. KayCyy),Passports & Suitcases (feat. KayCyy),single,20,24,44,0
KayCyy,7gmVTgaiN0gpDJKvTHPTRL,2022-03-11 05:02:28+00:00,THE SUN (Prod. Gesaffelstein),TW20 50,single,2024-01-19 12:24:28+00:00,Passports & Suitcases (feat. KayCyy),Passports & Suitcases (feat. KayCyy),single,17,3,20,0
Lyrical Lemonade,3VrGfWE8YdYMK4ySpnE0ly,2023-06-23 04:21:07+00:00,Doomsday (with Juice WRLD & Cordae),Doomsday,single,2024-01-16 03:33:59+00:00,"Fallout (with Gus Dapperton, Lil Yachty & Joey Bada$$)",Fallout,single,5,0,5,0
Gus Dapperton,6sHCvZe1PHrOAuYlwTLNH4,2020-06-07 06:51:57+00:00,Supalonely,STELLA & STEVE,single,2024-01-16 03:33:59+00:00,"Fallout (with Gus Dapperton, Lil Yachty & Joey Bada$$)",Fallout,single,1,2,3,0
Lil Yachty,6icQOAFXDZKsumw3YXyusw,2017-06-04 02:02:14+00:00,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),single,2024-01-16 03:33:59+00:00,"Fallout (with Gus Dapperton, Lil Yachty & Joey Bada$$)",Fallout,single,45,21,66,0
